District,Date,Daily Rainfall (m.m),Progressive (m.m)
Raigad Maharashtra,02-06-2025,4.4,8.5
Raigad Maharashtra,03-06-2025,0,8.5
Raigad Maharashtra,04-06-2025,0,8.5
Raigad Maharashtra,05-06-2025,0,28.1
Raigad Maharashtra,06-06-2025,3.3,43.8
Raigad Maharashtra,07-06-2025,6.7,57.1
Raigad Maharashtra,08-06-2025,14.8,73.6
Raigad Maharashtra,09-06-2025,0.9,79
Raigad Maharashtra,10-06-2025,0.4,77.7
Raigad Maharashtra,11-06-2025,0,76.9
Raigad Maharashtra,12-06-2025,1.2,75.6
Raigad Maharashtra,13-06-2025,15,90.6
Raigad Maharashtra,14-06-2025,0,0
Raigad Maharashtra,15-06-2025,65.3,173.5
Raigad Maharashtra,16-06-2025,72.1,246.8
Raigad Maharashtra,17-06-2025,54.1,301.8
Raigad Maharashtra,18-06-2025,21.7,320.3
Raigad Maharashtra,19-06-2025,129.3,447
Raigad Maharashtra,20-06-2025,35.7,483.5
Raigad Maharashtra,21-06-2025,0,0
Raigad Maharashtra,22-06-2025,0,0
Raigad Maharashtra,23-06-2025,10.7,528.9
Raigad Maharashtra,24-06-2025,75.2,606.5
Raigad Maharashtra,25-06-2025,8.7,617.2
Raigad Maharashtra,26-06-2025,6.7,624.3
Raigad Maharashtra,27-06-2025,25.8,650.4
Raigad Maharashtra,28-06-2025,11.6,663.7
Raigad Maharashtra,29-06-2025,18.7,682.2
Raigad Maharashtra,30-06-2025,14.1,696
Raigad Maharashtra,01-07-2025,18.5,18.5
Raigad Maharashtra,02-07-2025,19.1,37.6
Raigad Maharashtra,03-07-2025,58,95.6
Raigad Maharashtra,04-07-2025,22.2,117.8
Raigad Maharashtra,05-07-2025,0,0
Raigad Maharashtra,06-07-2025,20.8,166.5
Raigad Maharashtra,07-07-2025,24.9,190.7
Raigad Maharashtra,08-07-2025,10.1,200.1
Raigad Maharashtra,09-07-2025,7.3,207.5
Raigad Maharashtra,10-07-2025,12.6,221.3
Raigad Maharashtra,11-07-2025,4.5,226.3
Raigad Maharashtra,12-07-2025,0,0
Raigad Maharashtra,13-07-2025,5.6,244.6
Raigad Maharashtra,14-07-2025,14.6,259
Raigad Maharashtra,15-07-2025,74.7,333.5
Raigad Maharashtra,16-07-2025,53.1,386.6
Raigad Maharashtra,17-07-2025,1.3,387.8
Raigad Maharashtra,18-07-2025,4.7,396.4
Raigad Maharashtra,19-07-2025,9.9,407.4
Raigad Maharashtra,20-07-2025,0,0
Raigad Maharashtra,21-07-2025,0,0
Raigad Maharashtra,22-07-2025,26.6,457.5
Raigad Maharashtra,23-07-2025,0,0
Raigad Maharashtra,24-07-2025,52.2,583.6
Raigad Maharashtra,25-07-2025,48.6,632.4
Raigad Maharashtra,26-07-2025,53.5,685.3
Raigad Maharashtra,27-07-2025,39.5,725.7
Raigad Maharashtra,28-07-2025,11.3,735.8
Raigad Maharashtra,29-07-2025,4.7,741.9
Raigad Maharashtra,30-07-2025,12.6,755.7
Raigad Maharashtra,31-07-2025,6.9,763.6
Raigad Maharashtra,01-08-2025,3.9,3.9
Raigad Maharashtra,02-08-2025,0,0
Raigad Maharashtra,03-08-2025,7.2,13.6
Raigad Maharashtra,04-08-2025,4,17.6
Raigad Maharashtra,05-08-2025,2.1,19.8
Raigad Maharashtra,06-08-2025,4.3,24.1
Raigad Maharashtra,07-08-2025,3.7,27.1
Raigad Maharashtra,08-08-2025,1.6,28.4
Raigad Maharashtra,09-08-2025,9.6,37.6
Raigad Maharashtra,10-08-2025,4.4,42
Raigad Maharashtra,11-08-2025,0,0
Raigad Maharashtra,12-08-2025,5.1,57.5
Raigad Maharashtra,13-08-2025,0,0
Raigad Maharashtra,14-08-2025,17.6,85.9
Raigad Maharashtra,15-08-2025,22.1,108.6
Raigad Maharashtra,16-08-2025,49.7,157.6
Raigad Maharashtra,17-08-2025,70.4,227.9
Raigad Maharashtra,18-08-2025,77,307.1
Raigad Maharashtra,19-08-2025,126.8,434.9
Raigad Maharashtra,20-08-2025,0,0
Raigad Maharashtra,21-08-2025,0,0
Raigad Maharashtra,22-08-2025,6.2,586.3
Raigad Maharashtra,23-08-2025,7.3,592.9
Raigad Maharashtra,24-08-2025,5.5,598.8
Raigad Maharashtra,25-08-2025,12.1,610.9
Raigad Maharashtra,26-08-2025,30.1,640.9
Raigad Maharashtra,27-08-2025,14.4,655.5
Raigad Maharashtra,28-08-2025,16.7,672.3
Raigad Maharashtra,29-08-2025,13.3,686.1
Raigad Maharashtra,30-08-2025,50.6,737.1
Raigad Maharashtra,31-08-2025,7,744.2
Raigad Maharashtra,01-09-2025,15.2,15.2
Raigad Maharashtra,02-09-2025,0,0
Raigad Maharashtra,03-09-2025,8.2,34.1
Raigad Maharashtra,04-09-2025,4.8,38.9
Raigad Maharashtra,05-09-2025,12.6,51.6
Raigad Maharashtra,06-09-2025,24.4,75.6
Raigad Maharashtra,07-09-2025,19.6,95.1
Raigad Maharashtra,08-09-2025,21.1,116.2
Raigad Maharashtra,09-09-2025,1,117.4
Raigad Maharashtra,10-09-2025,0,117.5
Raigad Maharashtra,11-09-2025,0,117.5
