Feature,Importance
Monthly_Rainfall,0.19121534563607373
Rainfall_30Day_MA,0.1716149226850988
DayOfYear,0.09004457541186212
Rainfall_3Day_MA,0.07544534965200987
Rainfall_7Day_MA,0.07426803255687592
Rainfall_15Day_MA,0.06833895434898962
Weekly_Rainfall,0.06472168290131909
Week,0.06061763833018186
Daily Rainfall (m.m),0.047312040756600025
Rainfall_Lag_2,0.0345150138664508
Month,0.03146053015779803
Rainfall_Lag_3,0.027298432293341876
Progressive (m.m),0.026038178733804835
Rainfall_Lag_1,0.020179585833202434
Day,0.01692971683639083
Year,0.0
