District,Date,Daily Rainfall (m.m),Progressive (m.m),Weekly_Rainfall,Monthly_Rainfall,Crop_Suitability,Predicted_Crop_Suitability,Crop_Planning_Recommendation
Raigad Maharashtra,2025-06-02,4.4,8.5,4.4,4.4,Low Water Crops Suitable,Low Water Crops Suitable,"Plan millet, pulses, or low-water crops"
Raigad Maharashtra,2025-06-03,0.0,8.5,4.4,4.4,Low Water Crops Suitable,Low Water Crops Suitable,"Plan millet, pulses, or low-water crops"
Raigad Maharashtra,2025-06-04,0.0,8.5,4.4,4.4,Low Water Crops Suitable,Low Water Crops Suitable,"Plan millet, pulses, or low-water crops"
Raigad Maharashtra,2025-06-05,0.0,28.1,4.4,4.4,Low Water Crops Suitable,Low Water Crops Suitable,"Plan millet, pulses, or low-water crops"
Raigad Maharashtra,2025-06-06,3.3,43.8,7.7,7.7,Low Water Crops Suitable,Low Water Crops Suitable,"Plan millet, pulses, or low-water crops"
Raigad Maharashtra,2025-06-07,6.7,57.1,14.4,14.4,Low Water Crops Suitable,Low Water Crops Suitable,"Plan millet, pulses, or low-water crops"
Raigad Maharashtra,2025-06-08,14.8,73.6,29.200000000000003,29.200000000000003,Low Water Crops Suitable,Low Water Crops Suitable,"Plan millet, pulses, or low-water crops"
Raigad Maharashtra,2025-06-09,0.9,79.0,25.700000000000003,30.1,Low Water Crops Suitable,Low Water Crops Suitable,"Plan millet, pulses, or low-water crops"
Raigad Maharashtra,2025-06-10,0.4,77.7,26.1,30.5,Low Water Crops Suitable,Low Water Crops Suitable,"Plan millet, pulses, or low-water crops"
Raigad Maharashtra,2025-06-11,0.0,76.9,26.1,30.5,Low Water Crops Suitable,Low Water Crops Suitable,"Plan millet, pulses, or low-water crops"
Raigad Maharashtra,2025-06-12,1.2,75.6,27.300000000000004,31.700000000000003,Low Water Crops Suitable,Low Water Crops Suitable,"Plan millet, pulses, or low-water crops"
Raigad Maharashtra,2025-06-13,15.0,90.6,39.0,46.7,Pulses Suitable,Pulses Suitable,Plan pulses or short-duration crops
Raigad Maharashtra,2025-06-14,0.0,0.0,32.3,46.7,Low Water Crops Suitable,Low Water Crops Suitable,"Plan millet, pulses, or low-water crops"
Raigad Maharashtra,2025-06-15,65.3,173.5,82.8,112.0,Sugarcane Suitable,Sugarcane Suitable,Plan sugarcane cultivation with controlled irrigation
Raigad Maharashtra,2025-06-16,72.1,246.8,154.0,184.1,Sugarcane Suitable,Sugarcane Suitable,Plan sugarcane cultivation with controlled irrigation
Raigad Maharashtra,2025-06-17,54.1,301.8,207.7,238.2,Sugarcane Suitable,Sugarcane Suitable,Plan sugarcane cultivation with controlled irrigation
Raigad Maharashtra,2025-06-18,21.7,320.3,229.39999999999998,259.9,Sugarcane Suitable,Sugarcane Suitable,Plan sugarcane cultivation with controlled irrigation
Raigad Maharashtra,2025-06-19,129.3,447.0,357.5,389.20000000000005,Rice Suitable,Rice Suitable,Plan rice cultivation; ensure drainage during extreme rainfall
Raigad Maharashtra,2025-06-20,35.7,483.5,378.2,424.90000000000003,Rice Suitable,Rice Suitable,Plan rice cultivation; ensure drainage during extreme rainfall
Raigad Maharashtra,2025-06-21,0.0,0.0,378.2,424.90000000000003,Rice Suitable,Rice Suitable,Plan rice cultivation; ensure drainage during extreme rainfall
Raigad Maharashtra,2025-06-22,0.0,0.0,312.9,424.90000000000003,Sugarcane Suitable,Sugarcane Suitable,Plan sugarcane cultivation with controlled irrigation
Raigad Maharashtra,2025-06-23,10.7,528.9,251.50000000000003,435.6,Sugarcane Suitable,Sugarcane Suitable,Plan sugarcane cultivation with controlled irrigation
Raigad Maharashtra,2025-06-24,75.2,606.5,272.6,510.8,Sugarcane Suitable,Sugarcane Suitable,Plan sugarcane cultivation with controlled irrigation
Raigad Maharashtra,2025-06-25,8.7,617.2,259.6,519.5,Sugarcane Suitable,Sugarcane Suitable,Plan sugarcane cultivation with controlled irrigation
Raigad Maharashtra,2025-06-26,6.7,624.3,137.0,526.2,Pulses Suitable,Pulses Suitable,Plan pulses or short-duration crops
Raigad Maharashtra,2025-06-27,25.8,650.4,127.10000000000001,552.0,Pulses Suitable,Pulses Suitable,Plan pulses or short-duration crops
Raigad Maharashtra,2025-06-28,11.6,663.7,138.70000000000002,563.6,Pulses Suitable,Pulses Suitable,Plan pulses or short-duration crops
Raigad Maharashtra,2025-06-29,18.7,682.2,157.4,582.3000000000001,Pulses Suitable,Pulses Suitable,Plan pulses or short-duration crops
Raigad Maharashtra,2025-06-30,14.1,696.0,160.8,596.4,Pulses Suitable,Pulses Suitable,Plan pulses or short-duration crops
Raigad Maharashtra,2025-07-01,18.5,18.5,104.1,614.9,Sugarcane Suitable,Sugarcane Suitable,Plan sugarcane cultivation with controlled irrigation
Raigad Maharashtra,2025-07-02,19.1,37.6,114.5,629.6,Sugarcane Suitable,Sugarcane Suitable,Plan sugarcane cultivation with controlled irrigation
Raigad Maharashtra,2025-07-03,58.0,95.6,165.8,687.6,Sugarcane Suitable,Sugarcane Suitable,Plan sugarcane cultivation with controlled irrigation
Raigad Maharashtra,2025-07-04,22.2,117.8,162.20000000000002,709.8000000000001,Sugarcane Suitable,Sugarcane Suitable,Plan sugarcane cultivation with controlled irrigation
Raigad Maharashtra,2025-07-05,0.0,0.0,150.6,709.8000000000001,Sugarcane Suitable,Sugarcane Suitable,Plan sugarcane cultivation with controlled irrigation
Raigad Maharashtra,2025-07-06,20.8,166.5,152.7,727.3,Sugarcane Suitable,Sugarcane Suitable,Plan sugarcane cultivation with controlled irrigation
Raigad Maharashtra,2025-07-07,24.9,190.7,163.5,745.5,Sugarcane Suitable,Sugarcane Suitable,Plan sugarcane cultivation with controlled irrigation
Raigad Maharashtra,2025-07-08,10.1,200.1,155.1,740.8,Sugarcane Suitable,Sugarcane Suitable,Plan sugarcane cultivation with controlled irrigation
Raigad Maharashtra,2025-07-09,7.3,207.5,143.3,747.2,Sugarcane Suitable,Sugarcane Suitable,Plan sugarcane cultivation with controlled irrigation
Raigad Maharashtra,2025-07-10,12.6,221.3,97.9,759.4,Sugarcane Suitable,Sugarcane Suitable,Plan sugarcane cultivation with controlled irrigation
Raigad Maharashtra,2025-07-11,4.5,226.3,80.19999999999999,763.9,Sugarcane Suitable,Sugarcane Suitable,Plan sugarcane cultivation with controlled irrigation
Raigad Maharashtra,2025-07-12,0.0,0.0,80.19999999999999,762.6999999999999,Sugarcane Suitable,Sugarcane Suitable,Plan sugarcane cultivation with controlled irrigation
Raigad Maharashtra,2025-07-13,5.6,244.6,65.0,753.3,Sugarcane Suitable,Sugarcane Suitable,Plan sugarcane cultivation with controlled irrigation
Raigad Maharashtra,2025-07-14,14.6,259.0,54.7,767.9,Sugarcane Suitable,Sugarcane Suitable,Plan sugarcane cultivation with controlled irrigation
Raigad Maharashtra,2025-07-15,74.7,333.5,119.30000000000001,777.3000000000001,Sugarcane Suitable,Sugarcane Suitable,Plan sugarcane cultivation with controlled irrigation
Raigad Maharashtra,2025-07-16,53.1,386.6,165.1,758.3,Sugarcane Suitable,Sugarcane Suitable,Plan sugarcane cultivation with controlled irrigation
Raigad Maharashtra,2025-07-17,1.3,387.8,153.8,705.5,Sugarcane Suitable,Sugarcane Suitable,Plan sugarcane cultivation with controlled irrigation
Raigad Maharashtra,2025-07-18,4.7,396.4,154.0,688.5,Sugarcane Suitable,Sugarcane Suitable,Plan sugarcane cultivation with controlled irrigation
Raigad Maharashtra,2025-07-19,9.9,407.4,163.9,569.1,Pulses Suitable,Pulses Suitable,Plan pulses or short-duration crops
Raigad Maharashtra,2025-07-20,0.0,0.0,158.3,533.4000000000001,Pulses Suitable,Pulses Suitable,Plan pulses or short-duration crops
Raigad Maharashtra,2025-07-21,0.0,0.0,143.7,533.4000000000001,Pulses Suitable,Pulses Suitable,Plan pulses or short-duration crops
Raigad Maharashtra,2025-07-22,26.6,457.5,95.6,560.0,Pulses Suitable,Pulses Suitable,Plan pulses or short-duration crops
Raigad Maharashtra,2025-07-23,0.0,0.0,42.5,549.3,Pulses Suitable,Pulses Suitable,Plan pulses or short-duration crops
Raigad Maharashtra,2025-07-24,52.2,583.6,93.4,526.3000000000001,Sugarcane Suitable,Sugarcane Suitable,Plan sugarcane cultivation with controlled irrigation
Raigad Maharashtra,2025-07-25,48.6,632.4,137.3,566.1999999999999,Sugarcane Suitable,Sugarcane Suitable,Plan sugarcane cultivation with controlled irrigation
Raigad Maharashtra,2025-07-26,53.5,685.3,180.9,613.0,Sugarcane Suitable,Sugarcane Suitable,Plan sugarcane cultivation with controlled irrigation
Raigad Maharashtra,2025-07-27,39.5,725.7,220.4,626.6999999999999,Sugarcane Suitable,Sugarcane Suitable,Plan sugarcane cultivation with controlled irrigation
Raigad Maharashtra,2025-07-28,11.3,735.8,231.7,626.4,Sugarcane Suitable,Sugarcane Suitable,Plan sugarcane cultivation with controlled irrigation
Raigad Maharashtra,2025-07-29,4.7,741.9,209.8,612.4,Sugarcane Suitable,Sugarcane Suitable,Plan sugarcane cultivation with controlled irrigation
Raigad Maharashtra,2025-07-30,12.6,755.7,222.4,610.9,Sugarcane Suitable,Sugarcane Suitable,Plan sugarcane cultivation with controlled irrigation
Raigad Maharashtra,2025-07-31,6.9,763.6,177.1,599.3,Pulses Suitable,Pulses Suitable,Plan pulses or short-duration crops
Raigad Maharashtra,2025-08-01,3.9,3.9,132.4,584.1,Pulses Suitable,Pulses Suitable,Plan pulses or short-duration crops
Raigad Maharashtra,2025-08-02,0.0,0.0,78.89999999999999,526.1,Pulses Suitable,Pulses Suitable,Plan pulses or short-duration crops
Raigad Maharashtra,2025-08-03,7.2,13.6,46.6,511.09999999999997,Pulses Suitable,Pulses Suitable,Plan pulses or short-duration crops
Raigad Maharashtra,2025-08-04,4.0,17.6,39.3,515.1,Pulses Suitable,Pulses Suitable,Plan pulses or short-duration crops
Raigad Maharashtra,2025-08-05,2.1,19.8,36.7,496.40000000000003,Pulses Suitable,Pulses Suitable,Plan pulses or short-duration crops
Raigad Maharashtra,2025-08-06,4.3,24.1,28.4,475.8,Pulses Suitable,Pulses Suitable,Plan pulses or short-duration crops
Raigad Maharashtra,2025-08-07,3.7,27.1,25.200000000000003,469.40000000000003,Pulses Suitable,Pulses Suitable,Plan pulses or short-duration crops
Raigad Maharashtra,2025-08-08,1.6,28.4,22.9,463.70000000000005,Pulses Suitable,Pulses Suitable,Plan pulses or short-duration crops
Raigad Maharashtra,2025-08-09,9.6,37.6,32.5,460.7,Pulses Suitable,Pulses Suitable,Plan pulses or short-duration crops
Raigad Maharashtra,2025-08-10,4.4,42.0,29.700000000000003,460.6,Pulses Suitable,Pulses Suitable,Plan pulses or short-duration crops
Raigad Maharashtra,2025-08-11,0.0,0.0,25.700000000000003,460.6,Pulses Suitable,Pulses Suitable,Plan pulses or short-duration crops
Raigad Maharashtra,2025-08-12,5.1,57.5,28.7,460.1,Pulses Suitable,Pulses Suitable,Plan pulses or short-duration crops
Raigad Maharashtra,2025-08-13,0.0,0.0,24.4,445.5,Pulses Suitable,Pulses Suitable,Plan pulses or short-duration crops
Raigad Maharashtra,2025-08-14,17.6,85.9,38.3,388.40000000000003,Pulses Suitable,Pulses Suitable,Plan pulses or short-duration crops
Raigad Maharashtra,2025-08-15,22.1,108.6,58.8,357.4,Pulses Suitable,Pulses Suitable,Plan pulses or short-duration crops
Raigad Maharashtra,2025-08-16,49.7,157.6,98.9,405.8,Sugarcane Suitable,Sugarcane Suitable,Plan sugarcane cultivation with controlled irrigation
Raigad Maharashtra,2025-08-17,70.4,227.9,164.9,471.5,Sugarcane Suitable,Sugarcane Suitable,Plan sugarcane cultivation with controlled irrigation
Raigad Maharashtra,2025-08-18,77.0,307.1,241.9,538.6,Sugarcane Suitable,Sugarcane Suitable,Plan sugarcane cultivation with controlled irrigation
Raigad Maharashtra,2025-08-19,126.8,434.9,363.6,665.4000000000001,Rice Suitable,Rice Suitable,Plan rice cultivation; ensure drainage during extreme rainfall
Raigad Maharashtra,2025-08-20,0.0,0.0,363.6,665.4000000000001,Rice Suitable,Rice Suitable,Plan rice cultivation; ensure drainage during extreme rainfall
Raigad Maharashtra,2025-08-21,0.0,0.0,346.0,638.8,Sugarcane Suitable,Sugarcane Suitable,Plan sugarcane cultivation with controlled irrigation
Raigad Maharashtra,2025-08-22,6.2,586.3,330.1,645.0,Sugarcane Suitable,Sugarcane Suitable,Plan sugarcane cultivation with controlled irrigation
Raigad Maharashtra,2025-08-23,7.3,592.9,287.7,600.0999999999999,Sugarcane Suitable,Sugarcane Suitable,Plan sugarcane cultivation with controlled irrigation
Raigad Maharashtra,2025-08-24,5.5,598.8,222.8,557.0,Sugarcane Suitable,Pulses Suitable,Plan sugarcane cultivation with controlled irrigation
Raigad Maharashtra,2025-08-25,12.1,610.9,157.9,515.6,Pulses Suitable,Pulses Suitable,Plan pulses or short-duration crops
Raigad Maharashtra,2025-08-26,30.1,640.9,61.2,506.2,Pulses Suitable,Pulses Suitable,Plan pulses or short-duration crops
Raigad Maharashtra,2025-08-27,14.4,655.5,75.60000000000001,509.3,Pulses Suitable,Pulses Suitable,Plan pulses or short-duration crops
Raigad Maharashtra,2025-08-28,16.7,672.3,92.30000000000001,521.3,Pulses Suitable,Pulses Suitable,Plan pulses or short-duration crops
Raigad Maharashtra,2025-08-29,13.3,686.1,99.4,522.0,Pulses Suitable,Pulses Suitable,Plan pulses or short-duration crops
Raigad Maharashtra,2025-08-30,50.6,737.1,142.7,565.7,Sugarcane Suitable,Sugarcane Suitable,Plan sugarcane cultivation with controlled irrigation
Raigad Maharashtra,2025-08-31,7.0,744.2,144.2,568.8,Pulses Suitable,Pulses Suitable,Plan pulses or short-duration crops
Raigad Maharashtra,2025-09-01,15.2,15.2,147.3,584.0,Pulses Suitable,Pulses Suitable,Plan pulses or short-duration crops
Raigad Maharashtra,2025-09-02,0.0,0.0,117.2,576.8000000000001,Pulses Suitable,Pulses Suitable,Plan pulses or short-duration crops
Raigad Maharashtra,2025-09-03,8.2,34.1,111.0,581.0,Pulses Suitable,Pulses Suitable,Plan pulses or short-duration crops
Raigad Maharashtra,2025-09-04,4.8,38.9,99.10000000000001,583.7,Pulses Suitable,Pulses Suitable,Plan pulses or short-duration crops
Raigad Maharashtra,2025-09-05,12.6,51.6,98.39999999999999,592.0,Pulses Suitable,Pulses Suitable,Plan pulses or short-duration crops
Raigad Maharashtra,2025-09-06,24.4,75.6,72.19999999999999,612.7,Sugarcane Suitable,Sugarcane Suitable,Plan sugarcane cultivation with controlled irrigation
Raigad Maharashtra,2025-09-07,19.6,95.1,84.8,630.7,Sugarcane Suitable,Sugarcane Suitable,Plan sugarcane cultivation with controlled irrigation
Raigad Maharashtra,2025-09-08,21.1,116.2,90.69999999999999,642.1999999999999,Sugarcane Suitable,Sugarcane Suitable,Plan sugarcane cultivation with controlled irrigation
Raigad Maharashtra,2025-09-09,1.0,117.4,91.69999999999999,638.8,Sugarcane Suitable,Sugarcane Suitable,Plan sugarcane cultivation with controlled irrigation
Raigad Maharashtra,2025-09-10,0.0,117.5,83.5,638.8,Sugarcane Suitable,Sugarcane Suitable,Plan sugarcane cultivation with controlled irrigation
Raigad Maharashtra,2025-09-11,0.0,117.5,78.69999999999999,633.6999999999999,Sugarcane Suitable,Sugarcane Suitable,Plan sugarcane cultivation with controlled irrigation
